"Hhindex" "pernum" "sex" "race" "hisp" "age" "relate" "ownership" "headsex" "headrace" "headhisp" "headage"
252 2 1 NA 1 51 12 1 2 1 1 62
253 2 1 1 1 45 2 1 2 1 1 49
253 3 1 1 NA 9 3 1 2 1 1 49
253 4 1 1 1 13 5 1 2 1 1 49
254 2 1 NA 1 67 5 1 2 4 1 75
255 2 2 8 1 72 2 1 1 1 1 74
255 3 2 9 1 49 3 1 1 1 1 74
256 2 2 NA 5 48 2 1 1 1 NA 52
256 3 1 1 NA 17 3 1 1 1 NA 52
256 4 1 NA 5 14 3 1 1 1 NA 52
257 2 1 1 1 55 2 1 2 1 1 52
257 3 2 1 1 19 3 1 2 1 1 52
257 4 1 1 NA 16 3 1 2 1 1 52
258 2 2 1 1 46 2 1 1 NA 1 49
258 3 1 1 1 16 3 1 1 NA 1 49
259 2 2 NA 1 42 2 NA 1 1 1 48
259 3 2 1 1 22 3 NA 1 1 1 48
259 4 1 1 1 19 3 NA 1 1 1 48
259 5 1 1 1 16 3 NA 1 1 1 48
260 2 1 NA 2 19 3 2 1 1 2 52
261 2 1 1 1 33 12 2 1 8 1 32
262 2 2 4 1 35 2 1 1 NA 1 47
262 3 2 4 1 11 3 1 1 NA 1 47
263 2 1 1 1 58 2 1 2 1 1 62
263 3 2 1 1 24 3 1 2 1 1 62
264 2 2 1 1 45 2 1 1 1 1 47
264 3 1 1 1 19 5 1 1 1 1 47
265 2 2 1 1 65 2 1 1 1 1 70
265 3 2 NA 1 46 3 1 1 1 1 70
266 2 1 1 1 88 5 NA 2 1 NA 42
267 2 2 1 1 46 2 1 1 1 1 48
267 3 1 NA NA 21 3 1 1 1 1 48
267 4 2 NA 1 16 5 1 1 1 1 48
268 2 1 1 NA 15 2 NA 2 1 1 47
268 3 1 1 1 93 4 NA 2 1 1 47
268 4 2 1 NA 74 2 NA 2 1 1 47
268 5 1 1 NA 5 10 NA 2 1 1 47
269 2 2 2 NA 24 12 2 2 2 5 21
270 2 2 NA 1 17 4 2 2 NA 1 54
270 3 2 1 1 13 4 2 2 NA 1 54
271 2 1 1 NA 44 6 1 2 1 1 58
272 2 1 NA 1 66 2 NA 2 NA 1 63
273 2 1 1 1 45 2 2 2 NA 1 43
273 3 2 1 NA 11 3 2 2 NA 1 43
273 4 2 1 1 8 3 2 2 NA 1 43
273 5 1 1 1 5 3 2 2 NA 1 43
274 2 2 NA NA 45 2 NA 1 1 1 47
274 3 2 1 1 17 3 NA 1 1 1 47
274 4 2 1 NA 10 3 NA 1 1 1 47
275 2 2 1 1 69 2 1 1 1 NA 79
276 2 2 1 1 55 2 1 1 1 NA 48
276 3 2 1 1 22 3 1 1 1 NA 48
277 2 2 NA 1 61 2 1 1 1 1 65
277 3 2 1 NA 16 4 1 1 1 1 65
277 4 1 1 NA 14 4 1 1 1 1 65
278 2 1 8 1 85 3 2 2 8 1 32
279 2 2 3 1 7 3 2 2 3 1 34
279 3 2 3 1 4 3 2 2 3 1 34
280 2 1 1 1 58 2 NA 2 1 1 51
280 3 1 1 1 21 3 NA 2 1 1 51
280 4 1 1 1 20 3 NA 2 1 1 51
280 5 1 1 1 18 3 NA 2 1 1 51
280 6 2 1 1 69 7 NA 2 1 1 51
281 2 2 1 1 56 12 NA 1 1 1 52
282 2 1 1 1 58 2 1 2 1 1 58
283 2 2 1 1 57 2 NA 1 1 1 67
284 2 1 2 1 28 2 2 2 2 1 23
284 3 2 2 1 2 3 2 2 2 1 23
285 2 1 1 2 9 3 2 2 1 1 37
286 2 2 NA 1 61 2 1 1 1 1 64
287 2 2 1 1 20 12 NA 1 1 1 19
288 2 2 1 2 38 2 NA 1 1 2 42
288 3 2 1 NA 11 3 NA 1 1 2 42
288 4 2 1 2 9 3 NA 1 1 2 42
