"HHIndex" "WithinHHIndex" "Gender" "Race" "Hisp" "Age" "Relate" "Owner"
232 3 2 1 1 18 3 1
232 4 2 1 1 14 3 1
233 1 1 1 1 43 1 1
233 2 2 1 1 45 2 1
233 3 1 1 1 14 3 1
233 4 2 1 1 12 3 1
234 1 2 1 1 38 1 1
234 2 1 1 1 40 2 1
234 3 1 1 1 12 3 1
234 4 1 1 1 9 3 1
234 5 2 1 1 3 3 1
235 1 2 1 3 33 1 2
235 2 2 1 3 30 7 2
235 3 1 1 3 7 10 2
236 1 2 1 1 49 1 1
236 2 1 1 1 52 2 1
237 1 2 1 1 90 1 1
237 2 2 1 1 71 12 1
238 1 2 1 1 62 1 1
238 2 1 1 1 64 2 1
239 1 1 1 1 36 1 1
239 2 2 1 1 31 2 1
240 1 1 1 1 58 1 1
240 2 2 1 1 49 2 1
240 3 1 1 1 23 3 1
240 4 2 1 1 20 3 1
241 1 1 1 2 36 1 2
241 2 2 1 2 36 2 2
241 3 2 1 2 14 3 2
241 4 1 1 2 12 3 2
241 5 1 1 2 9 3 2
241 6 2 1 2 7 3 2
242 1 1 1 1 59 1 2
242 2 2 1 1 46 2 2
242 3 2 1 1 18 3 2
243 1 1 1 1 51 1 1
243 2 2 1 1 49 2 1
244 1 1 1 4 78 1 2
244 2 2 1 4 61 2 2
245 1 1 1 1 46 1 1
245 2 2 1 1 44 2 1
245 3 1 1 1 16 3 1
245 4 2 1 1 14 3 1
245 5 1 1 1 15 3 1
245 6 1 1 1 12 3 1
246 1 2 2 1 69 1 1
246 2 1 2 1 61 2 1
247 1 2 3 1 41 1 2
247 2 1 2 1 40 2 2
248 1 2 1 1 82 1 1
248 2 1 1 1 85 2 1
249 1 1 1 1 52 1 1
249 2 1 1 1 26 3 1
250 1 1 1 1 60 1 1
250 2 2 1 1 53 2 1
250 3 1 1 1 36 3 1
251 1 1 1 1 60 1 1
251 2 2 1 1 65 11 1
252 1 2 1 1 30 1 1
252 2 1 1 1 31 2 1
253 1 2 1 5 75 1 1
253 2 1 2 1 58 2 1
253 3 2 1 1 9 9 1
253 4 1 1 1 4 12 1
254 1 2 1 1 56 1 1
254 2 1 1 1 55 12 1
255 1 2 2 1 76 1 2
255 2 1 2 1 33 3 2
256 1 1 1 1 41 1 2
256 2 2 1 1 43 2 2
256 3 1 1 1 9 3 2
256 4 1 1 1 6 3 2
256 5 2 1 1 3 3 2
257 1 2 1 1 56 1 1
257 2 1 1 1 54 2 1
257 3 1 1 1 69 12 1
258 1 2 1 1 53 1 1
258 2 1 1 1 54 2 1
259 1 2 1 1 78 1 1
259 2 1 1 1 49 3 1
259 3 2 1 1 46 3 1
260 1 1 1 1 69 1 1
260 2 2 1 1 68 2 1
261 1 1 1 1 69 1 2
261 2 2 1 1 69 2 2
262 1 1 2 1 88 1 1
262 2 2 2 1 57 3 1
262 3 1 2 1 22 9 1
262 4 1 2 1 22 9 1
263 1 2 1 1 59 1 1
263 2 1 1 1 62 2 1
264 1 2 1 1 28 1 2
264 2 1 8 1 27 2 2
264 3 1 1 1 7 3 2
265 1 2 1 1 30 1 1
265 2 1 1 1 33 2 1
265 3 1 1 1 6 3 1
266 1 1 1 1 61 1 1
266 2 1 1 1 32 3 1
267 1 2 1 1 37 1 2
267 2 1 1 1 33 2 2
268 1 2 1 5 39 1 2
268 2 2 1 5 7 3 2
269 1 1 1 1 35 1 2
269 2 2 1 1 34 2 2
269 3 2 1 1 13 3 2
269 4 1 1 1 12 3 2
269 5 1 1 1 4 3 2
270 1 1 1 1 48 1 2
270 2 2 1 1 44 2 2
270 3 1 1 1 11 3 2
271 1 1 1 2 41 1 2
271 2 2 1 2 38 2 2
271 3 2 1 2 17 3 2
271 4 1 1 2 14 3 2
271 5 1 1 2 8 3 2
272 1 2 1 2 34 1 1
272 2 1 1 1 34 2 1
272 3 2 1 2 2 3 1
273 1 1 2 1 31 1 2
273 2 2 2 1 30 2 2
273 3 2 2 1 8 3 2
274 1 2 1 3 32 1 2
274 2 1 1 1 37 2 2
274 3 2 1 1 12 3 2
274 4 1 1 1 10 3 2
274 5 2 1 1 1 3 2
275 1 2 1 1 41 1 1
275 2 1 1 1 45 11 1
276 1 2 1 1 22 1 2
276 2 1 1 1 59 5 2
277 1 1 1 1 32 1 1
277 2 2 1 1 31 2 1
278 1 1 1 1 38 1 1
278 2 2 6 1 38 2 1
279 1 1 1 1 24 1 1
279 2 2 1 1 24 2 1
280 1 2 1 1 55 1 1
280 2 1 1 1 48 2 1
280 3 2 1 1 20 3 1
281 1 1 1 1 41 1 2
281 2 2 1 1 31 2 2
281 3 1 1 1 1 3 2
282 1 2 1 1 46 1 1
282 2 1 1 1 48 2 1
282 3 1 1 1 19 3 1
